"","Station","Light","Depth","avsyn","sdsyn","avpico","sdpico","avcrypto","sdcrypto","avnano","sdnano","avhetero","sdhetero","avpercent","sdpercent","avmixo","sdmixo"
"1",1,1,50.4,153.59550115,11.4325174995985,198.05735325,5.71616502279542,24.251918975,11.4324568934763,64.67179108,11.432487207144,NA,NA,NA,NA,NA,NA
"2",1,10,25.2,792.23127215,57.1627289193489,392.07363395,5.71611227262954,56.58794342,22.8649643026611,464.82955845,51.4460547089604,NA,NA,NA,NA,NA,NA
"3",1,22,16.6,670.97162795,137.188759082778,311.23379695,97.1756691891661,36.377991785,5.71631523348895,270.81390535,5.71674131482212,NA,NA,NA,NA,NA,NA
"4",1,46,8.5,1414.7115455,45.7316679182982,1511.7203615,102.894734481135,36.378298945,5.71633084640668,1329.828789,97.175853531904,NA,NA,NA,NA,NA,NA
"5",2,1,45.6,161.679511791872,45.7299157481035,153.595530033176,4.36221378725006e-05,36.3778862568962,17.1486908547148,105.091681690648,22.8649647617576,NA,NA,NA,NA,NA,NA
"6",2,10,22.8,501.20844379181,22.8643425672625,1637.01146531791,51.4440764900517,60.6300750513319,28.5813649445459,1228.76906387376,91.4584282291074,NA,NA,NA,NA,NA,NA
"7",2,22,15,339.528327100495,80.0276129159113,1366.19731126559,148.62275148673,40.4200383452661,11.4325110798195,1075.17303056904,68.5951413259234,NA,NA,NA,NA,NA,NA
"8",2,46,7.7,1317.70085750879,34.2958672991175,2348.41803632259,291.53411207842,80.8405611342437,22.865273794636,1503.63407019052,91.4585007584287,NA,NA,NA,NA,NA,NA
"9",3,1,45.7,1467.29688021262,1411.96798063714,5238.59790684445,45.7644870338086,145.516964949118,114.329559539892,2526.33204807841,668.838484823256,NA,NA,NA,NA,NA,NA
"10",3,10,22.8,1463.25059290635,1349.0848402556,5557.90852735748,417.341686193413,169.769285240774,125.762407664583,2869.90423953465,823.185908938174,NA,NA,NA,NA,NA,NA
"11",3,22,15,2934.64248572648,2881.18922198476,6285.63648079357,6419.78417800682,234.447040702217,171.501358054963,3338.85332376369,2686.84342978006,NA,NA,NA,NA,NA,NA
"12",3,46,7.7,2983.12744311173,2743.97232728482,6277.50858778545,6179.64132688321,185.937160496615,34.2930605070102,3148.8358362603,1480.64719902107,NA,NA,NA,NA,NA,NA
"13",4,1,47.3,355.69549739673,8.08160168064514e-05,553.753225980048,74.3112866614744,40.419942885992,9.18363820037971e-06,432.493388230734,5.71614487704252,NA,NA,NA,NA,NA,NA
"14",4,10,23.8,800.316817295267,68.5925483126957,990.29142812592,177.207142915764,64.6720748599503,0.000205714554810075,929.661094294555,11.4354728184451,NA,NA,NA,NA,NA,NA
"15",4,22,15.7,1006.46117420352,97.1754960611149,1277.27618122284,160.056925738429,101.050333213763,17.1489176918823,1208.5618838153,17.1501129534503,NA,NA,NA,NA,NA,NA
"16",4,46,8,864.98886227917,34.2975415047722,1063.04705971693,28.5812845873037,36.3780362640773,28.5812845873102,864.988862279171,22.8650276698486,NA,NA,NA,NA,NA,NA
"17",10,1,43.3,759.903337136313,45.7300204376624,2328.21453251746,45.7317745514646,125.30321036508,5.71623533500472,1147.93913260195,102.894169228792,88.92507214906,80.0284670078301,0.0477843731206985,0.0260103536790786,52.5466309893201,28.5815821417343
